indicator_code,country_iso3,who_region,year,dim1_type,dim1,value_numeric,value_low,value_high,value_display,last_updated
cpmt,SEN,AFR,2018,EDUCATIONLEVEL,EDUCATIONLEVEL_PRLM,35.82563,32.44951,39.34839,35.8 [32.4-39.3],2022-05-26T11:24:00+02:00
cpmt,SLE,AFR,2008,DHSMICSGEOREGION,DHSMICSGEOREGION_SLEDHS200801,6.16108,4.7892,7.89335,6.2 [4.8-7.9],2022-05-26T14:46:59+02:00
cpmt,ETH,AFR,2000,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE02,2.32203,1.40178,3.823,2.3 [1.4-3.8],2022-05-26T12:08:07+02:00
cpmt,GMB,AFR,2018,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE04,14.68485,11.65201,18.34319,14.7 [11.7-18.3],2022-05-26T12:09:07+02:00
cpmt,STP,AFR,2014,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE01,35.24001,27.35238,44.02384,35.2 [27.4-44.0],2022-05-26T12:29:30+02:00
cpmt,LSO,AFR,2018,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,64.56888,61.98816,67.06747,64.6 [62.0-67.1],2022-05-26T11:36:36+02:00
cpmt,ETH,AFR,2005,EDUCATIONLEVEL,EDUCATIONLEVEL_NHLM,9.95393,8.78248,11.26235,10.0 [8.8-11.3],2022-05-26T11:17:34+02:00
cpmt,ETH,AFR,2000,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,35.60049,32.06143,39.30421,35.6 [32.1-39.3],2022-05-26T11:34:43+02:00
cpmt,ZWE,AFR,2010,DHSMICSGEOREGION,DHSMICSGEOREGION_ZWEDHS201003,62.48229,57.85076,66.89612,62.5 [57.9-66.9],2022-05-26T14:53:58+02:00
cpmt,KEN,AFR,1993,DHSMICSGEOREGION,DHSMICSGEOREGION_KENDHS199302,55.98977,51.16421,60.7047,56.0 [51.2-60.7],2022-05-26T14:30:35+02:00
cpmt,STP,AFR,2008,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,44.06357,37.11899,51.24851,44.1 [37.1-51.2],2022-05-26T13:02:50+02:00
cpmt,GNB,AFR,2018,DHSMICSGEOREGION,DHSMICSGEOREGION_GNBMICS201805,46.39383,41.19607,51.67115,46.4 [41.2-51.7],2022-05-26T14:25:02+02:00
cpmt,TCD,AFR,1996,DHSMICSGEOREGION,DHSMICSGEOREGION_TCDDHS199610,1.76356,0.81651,3.76735,1.8 [0.8-3.8],2022-05-26T14:17:05+02:00
cpmt,SEN,AFR,1997,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE02,6.41422,4.27318,9.52132,6.4 [4.3-9.5],2022-05-26T12:29:44+02:00
cpmt,CPV,AFR,1998,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,70.06564,64.70138,74.93055,70.1 [64.7-74.9],2022-05-26T12:47:47+02:00
cpmt,MWI,AFR,2015,AGEGROUP,AGEGROUP_YEARS20-49,60.97417,59.8619,62.07516,61.0 [59.9-62.1],2022-05-26T11:03:50+02:00
cpmt,NAM,AFR,2006,DHSMICSGEOREGION,DHSMICSGEOREGION_NAMDHS200611,54.15599,48.13454,60.05846,54.2 [48.1-60.1],2022-05-26T14:35:42+02:00
cpmt,MLI,AFR,2015,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE06,14.75593,12.30675,17.59473,14.8 [12.3-17.6],2022-05-26T12:19:03+02:00
cpmt,TCD,AFR,2004,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE05,11.36544,6.87384,18.21784,11.4 [6.9-18.2],2022-05-26T12:02:58+02:00
cpmt,GIN,AFR,2005,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,17.05376,14.50227,19.94941,17.1 [14.5-19.9],2022-05-26T12:52:58+02:00
cpmt,TCD,AFR,2019,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,14.05112,12.20971,16.11926,14.1 [12.2-16.1],2022-05-26T12:48:45+02:00
cpmt,MRT,AFR,2007,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,21.87592,19.28025,24.71406,21.9 [19.3-24.7],2022-05-26T11:20:56+02:00
